id,slug,name,org,family,releaseDate,openWeights,license,reasoningConfig,reasoning,weightsDate,trainingCutoff,defaultEffortTier,maxEffortTier,effortTierOrder,aliases,contextLength,maxOutput,sourceUrl,metadataSources,status,paramsTotalB,paramsActiveB,modality,sizeClass
gpt-5.6-sol,gpt-5.6-sol,GPT-5.6 Sol,OpenAI,GPT-5.6,2026-07-09,false,Proprietary,{},,,,,,[],"[""GPT-5.6-Sol"",""openai-gpt-5-6-sol""]",,,https://openai.com/index/gpt-5-6/,[],active,,,text,unknown
gpt-5.6-terra,gpt-5.6-terra,GPT-5.6 Terra,OpenAI,GPT-5.6,2026-07-09,false,Proprietary,{},,,,,,[],[],,,https://openai.com/index/gpt-5-6/,[],active,,,text,unknown
gpt-6-astra,gpt-6-astra,GPT-6 Astra,OpenAI,GPT-6,2026-09-03,false,Proprietary,{},,,,,,[],[],,,,[],active,,,text,unknown
gpt-oss-120b,gpt-oss-120b,gpt-oss-120b,OpenAI,gpt-oss,2025-08-05,true,Apache-2.0,{},,,,,,[],[],,,https://cdn.openai.com/pdf/419b6906-9da6-406c-a19d-1bb078ac7637/oai_gpt-oss_model_card.pdf,[],active,,,text,unknown
grok-4-fast,grok-4-fast,Grok 4 Fast,xAI,Grok 4,2025-09-19,false,Proprietary,{},,,,,,[],"[""Grok 4 fast"",""grok-4-fast""]",,,https://x.ai/news/grok-4-fast,[],active,,,text,unknown
grok-4.1-fast,grok-4.1-fast,Grok 4.1 Fast,xAI,Grok 4,2025-11-19,false,Proprietary,{},,,,,,[],[],,,https://x.ai/news/grok-4-1-fast,[],active,,,text,unknown
grok-4.20,grok-4.20,Grok 4.20,xAI,Grok 4,2026-02-17,false,Proprietary,{},,,,,,[],[],,,https://docs.x.ai/developers/models,[],active,,,text,unknown
grok-4.3,grok-4.3,Grok 4.3,xAI,Grok,2026-04-30,false,Proprietary,{},true,,,low,high,"[""none"",""low"",""medium"",""high""]","[""Grok 4.3"",""grok-4-3-medium""]",1000000,,https://docs.x.ai/developers/models/grok-4.3,"[""https://docs.x.ai/developers/models/grok-4.3"",""https://artificialanalysis.ai/models/grok-4-3-medium""]",active,,,multimodal,unknown
grok-4.5,grok-4.5,Grok 4.5,xAI,Grok 4,2026-07-08,false,Proprietary,{},,,,,,[],[],,,https://x.ai/news/grok-4-5,[],active,,,text,unknown
grok-4.6,grok-4.6,Grok 4.6,xAI,Grok 4,2026-08-12,false,Proprietary,{},,,,,,[],[],,,https://x.ai/news/grok-4-6,[],active,,,text,unknown
grok-4,grok-4,Grok 4,xAI,Grok 4,2025-07-09,false,Proprietary,{},,,,,,[],"[""grok-4-0709""]",,,https://x.ai/news/grok-4,[],active,,,text,unknown
grok-code-fast-1,grok-code-fast-1,Grok Code Fast 1,xAI,Grok,2025-08-28,false,Proprietary,{},,,,,,[],"[""grok-code-fast-1""]",,,https://data.x.ai/2025-08-26-grok-code-fast-1-model-card.pdf,[],active,,,text,unknown
hy3,hy3,Hy3,Tencent,Hy3,2026-07-06,true,Apache-2.0,{},true,,,,,[],"[""Hy3"",""tencent/hy3"",""hy3""]",256000,,https://huggingface.co/tencent/Hy3,"[""https://huggingface.co/tencent/Hy3"",""https://artificialanalysis.ai/models/hy3""]",active,,,text,unknown
inkling-small,inkling-small,Inkling Small,Thinking Machines,Inkling,2026-07-30,true,Apache-2.0,{},true,,,,,[],"[""Inkling-Small"",""Inkling Small"",""inkling-small""]",1000000,,https://huggingface.co/thinkingmachines/Inkling-Small,"[""https://huggingface.co/thinkingmachines/Inkling-Small"",""https://artificialanalysis.ai/models/inkling-small""]",active,,,multimodal,unknown
